"Name","Gross Export","Share","Code","Sector"
"Onions, shallots, garlic","386447328","0.07898864370102329","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","436782400","0.08927697740085767","0704","Agriculture"
"Lettuce","248831712","0.05086043560555719","0705","Agriculture"
"Carrots & turnips","89727928","0.01834011214802104","0706","Agriculture"
"Cucumbers","563802688","0.11523953308356473","0707","Agriculture"
"Legumes","140343296","0.028685737487027588","0708","Agriculture"
"Other vegetables","2485814016","0.5080927293067835","0709","Agriculture"
"Frozen vegetables","485333728","0.09920071932049003","0710","Agriculture"
"Vegetables, provisionally preserved","10617370","0.002170157729676251","0711","Agriculture"
"Vegetables, dried","8941045","0.0018275220622558316","0712","Agriculture"
"Legumes, dried","243323296","0.0497345323394308","0713","Agriculture"
"Tubers","2296040","0.0004693035048835879","0714","Agriculture"
"Cashew nuts & coconuts","16727972","0.003419145959649885","0801","Agriculture"
"Other nuts","888451648","0.18159678068587645","0802","Agriculture"
"Bananas and plantains","319624992","0.06533036401543038","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","3058585856","0.625165529436843","0804","Agriculture"
"Citrus fruit","686358528","0.14028956934423625","0805","Agriculture"
"Grapes","452882304","0.09256774819556914","0806","Agriculture"
"Melons and papayas","476103296","0.0973140474466596","0807","Agriculture"
"Apples & pears","532852","0.00010891330777522586","0808","Agriculture"
"Peaches & cherries","239691","0.000048992102223416","0809","Agriculture"
"Other fresh fruit","2312767488","0.47272255191512835","0810","Agriculture"
"Fruits and nuts, frozen","259750000","0.05309210004769601","0811","Agriculture"
"Fruits and nuts, provisionally preserved","222260","0.00004542925950568207","0812","Agriculture"
"Fruits, dried","7978038","0.0016306863972293383","0813","Agriculture"
"Peel of citrus fruit or melons","23390874","0.004781022608704722","0814","Agriculture"
"Coffee","347477344","0.07102329898731737","0901","Agriculture"
"Tea","536905","0.0001097417284931982","0902","Agriculture"
"Pepper","93157288","0.019041062770618025","0904","Agriculture"
"Vanilla","924900","0.00018904671158465465","0905","Agriculture"
"Cinnamon","1015255","0.00020751499531828147","0906","Agriculture"
"Cloves","3628","7.415520268452017e-7","0907","Agriculture"
"Nutmeg","52677","0.000010767016570596663","0908","Agriculture"
"Anise, fennel, etc.","135749","0.000027746677533685028","0909","Agriculture"
"Spices","12645842","0.0025847711593892445","0910","Agriculture"
"Wheat and meslin","130559976","0.02668605700872682","1001","Agriculture"
"Oats","5129","0.0000010483518042141785","1004","Agriculture"
"Corn","257175360","0.0525658515608171","1005","Agriculture"
"Rice","1455129","0.00029742388623793596","1006","Agriculture"
"Grain sorghum","386426","0.00007898428432350715","1007","Agriculture"
"Other cereals","68524","0.000014006094566576793","1008","Agriculture"
"Wheat or meslin flour","25107754","0.005131947593227873","1101","Agriculture"
"Cereal flours","152258208","0.031121108805462597","1102","Agriculture"
"Cereal meals","22451792","0.004589077139996386","1103","Agriculture"
